,Count,word
1736,14,highly respected
1737,14,bobby
1739,14,destroy
1740,14,fiorina
1741,14,good luck
1742,14,they want
1743,14,thank you i
1744,14,learn
1745,14,late
1746,14,robert
1747,14,rate
1748,14,am going to
1749,14,exclusive
1750,14,continues to
1751,14,you all
1753,14,is a movement
1755,14,washington dc
1756,14,to keep
1757,14,career
1758,14,game
1759,14,tampa
1760,14,mind
1761,14,the wonderful
1762,14,night at
1763,14,ryan
1764,14,are doing
1765,14,rubio and
1766,14,refugees
1767,14,live from
1768,14,the election
1769,14,forward to it
1770,14,realdonaldtrump is the
1771,14,the very
1772,14,pres
1773,14,phoenix
1774,14,time to draintheswamp
1775,14,disgusting
1776,14,enjoyed
1778,14,raised
1779,14,pundits
1780,14,mayor
1781,14,you so much
1784,14,fool
1785,14,facebook
1786,14,on tv
1787,14,were great
1788,14,defeat
1789,14,scottwalker
1790,14,at all
1791,14,announced that
1792,14,is time to
1793,14,stories
1794,14,vote for trump
1795,14,fortune
1796,14,in the history
1797,14,people will
1798,14,i do
1799,14,to trump
1800,14,performance
1801,14,an honor
1802,14,brother
1803,14,here in
1804,14,back from
1805,14,official
1806,14,running for
1807,14,to hear
1808,14,trump we
1809,14,keep up the
1810,14,term
1811,14,rest
1812,14,great day in
1813,14,dishonest media
1814,14,a massive
1815,14,great again trump
1816,14,to stop
1817,14,in las
1818,14,paid for
1819,14,discuss
1820,14,my way
1821,14,just announced that
1822,14,polls are
1823,14,my friend
1824,14,be careful
1825,14,in las vegas
1827,14,frontrunner
1828,14,politically
1829,14,to help
1830,14,congratulations to
1831,14,trump carson
1832,14,my great
1833,14,tomorrow morning
1834,14,the media is
1835,14,foxnews realdonaldtrump
1836,14,presidential candidate
1837,14,be there
1838,14,just watched
1839,14,you mr
1840,14,people i
1841,14,as president
1842,14,favor
1843,14,appreciated
1844,14,selffunding
1845,14,hispanic
1847,14,landslide
1848,14,the great people
1849,14,that you
1850,14,down the
1851,14,gstephanopoulos
1852,14,on this
1853,14,club for growth
1854,14,maine
1855,14,i said no
1856,14,iowa poll
1857,14,that hillary
1859,14,you makeamericagreatagain trump
1860,14,health
1861,14,months
1862,14,talks
1863,14,field
1864,14,only one who
1865,14,ahead of
1866,14,the history
1868,14,melaniatrump
1869,14,answer
1870,14,am going
1871,14,is being
1872,14,realdonaldtrump was
1873,14,to show
1874,14,and very
1875,14,tennessee
1876,14,has just
1878,14,a great time
1879,14,was the
1880,14,realdonaldtrump on
1881,14,plans
1882,14,wait to
1883,14,for growth
1884,14,by far
1885,14,tired of
1886,14,that will
1888,14,received
1889,14,very good
1890,14,will have
1891,14,megynkelly realdonaldtrump
1892,14,at pm on
1894,14,a speech
1895,14,your nice
1896,14,he didnt
1897,14,you think
1898,14,lindsey
1899,14,realdonaldtrump has
1900,14,list
1901,14,cover
1902,14,debate bigleaguetruth
1904,13,in every
1905,13,secret
1906,13,foxnewssunday
1907,13,experience
1908,13,oil
1909,13,straight
1910,13,with my
1913,13,no action
1914,13,will soon
1915,13,very dishonest
1916,13,the donald
1917,13,miami
1918,13,the horrible
1919,13,love it
1920,13,realdonaldtrump thank
1921,13,got back
1922,13,created
1923,13,as well
1924,13,poll shows
1925,13,the todayshow
1926,13,controlled
1927,13,court
1928,13,i beat
1929,13,our vets
1930,13,fight for
1931,13,san
1932,13,will be going
1933,13,trump the
1934,13,donors
1935,13,the history of
1936,13,safe and
1937,13,for potus
1938,13,cruz and
1939,13,paper
1940,13,interviews
1941,13,protesters
1943,13,interview on
1945,13,clown
1946,13,this morning enjoy
1947,13,create
1948,13,playing
1949,13,if it
1950,13,release
1951,13,and get
1952,13,for the people
1953,13,and replace
1955,13,you america trump
1957,13,it like
1958,13,that ted
1959,13,for your nice
1960,13,shot
1961,13,at trump
1962,13,lets makeamericagreatagain
1963,13,and they
1964,13,scotland
1965,13,hillary said
1966,13,not have
1967,13,just another
1968,13,rove
1969,13,muslim
1971,13,issue
1972,13,i believe
1973,13,entire
1974,13,just got back
1975,13,economic
1976,13,join the movement
1977,13,share
1978,13,great evening
1979,13,hannity
1980,13,mississippi
1981,13,just arrived
1982,13,bc
1983,13,i told you
1984,13,a record
1985,13,every poll
1986,13,am on
1987,13,i am going
1989,13,debate last
1990,13,benghazi
1991,13,can you
1992,13,morningmika
1993,13,fallontonight
1994,13,clubgrowth
1996,13,is a disaster
1997,13,sir
1998,13,union
1999,13,much more
2000,13,tweets
2001,13,just had
2003,13,if the
2004,13,as i
2005,13,to fix
2006,13,clinton and
2007,13,who will
2008,13,weak and
2009,13,reports
2010,13,cant wait to
2011,13,letter
2012,13,wiprimary
2013,13,defend
2014,13,we want
2015,13,you mr trump
2016,13,write
2017,13,told you
2018,13,funding
2019,13,calling
2021,13,be going
2022,13,do a
2023,13,monday
2024,13,make it
2025,13,will get
2026,13,am the only
2027,13,americas
2028,13,michael
2029,13,when will
2030,13,on her
2031,13,thank you iowa
2032,13,of us
2033,13,worth
2034,13,you iowa
